measure,label,model,dataset,arch,pvp,nshot,sample,value,time_train,time_test,run,majority
Precision,3,roberta,ag,pet,qa,10,4,0.746171967020024,,,1,0.778125
Precision,3,roberta,ag,pet,qa,10,4,0.768285187461586,,,2,0.778125
Precision,3,roberta,ag,pet,qa,10,4,0.731934731934732,,,3,0.778125
Precision,3,roberta,ag,pet,qa,10,4,0.771270036991369,,,4,0.778125
Precision,3,roberta,ag,pet,qa,10,4,0.780854430379747,,,5,0.778125
Recall,0,roberta,ag,pet,qa,10,4,0.793157894736842,,,1,0.775789473684211
Recall,0,roberta,ag,pet,qa,10,4,0.772631578947368,,,2,0.775789473684211
Recall,0,roberta,ag,pet,qa,10,4,0.647368421052632,,,3,0.775789473684211
Recall,0,roberta,ag,pet,qa,10,4,0.813157894736842,,,4,0.775789473684211
Recall,0,roberta,ag,pet,qa,10,4,0.728421052631579,,,5,0.775789473684211
Recall,1,roberta,ag,pet,qa,10,4,0.978421052631579,,,1,0.980526315789474
Recall,1,roberta,ag,pet,qa,10,4,0.971052631578947,,,2,0.980526315789474
Recall,1,roberta,ag,pet,qa,10,4,0.982105263157895,,,3,0.980526315789474
Recall,1,roberta,ag,pet,qa,10,4,0.972631578947368,,,4,0.980526315789474
Recall,1,roberta,ag,pet,qa,10,4,0.98,,,5,0.980526315789474
Recall,2,roberta,ag,pet,qa,10,4,0.797368421052632,,,1,0.854736842105263
Recall,2,roberta,ag,pet,qa,10,4,0.85,,,2,0.854736842105263
Recall,2,roberta,ag,pet,qa,10,4,0.878421052631579,,,3,0.854736842105263
Recall,2,roberta,ag,pet,qa,10,4,0.81,,,4,0.854736842105263
Recall,2,roberta,ag,pet,qa,10,4,0.914736842105263,,,5,0.854736842105263
Recall,3,roberta,ag,pet,qa,10,4,0.666842105263158,,,1,0.655263157894737
Recall,3,roberta,ag,pet,qa,10,4,0.657894736842105,,,2,0.655263157894737
Recall,3,roberta,ag,pet,qa,10,4,0.661052631578947,,,3,0.655263157894737
Recall,3,roberta,ag,pet,qa,10,4,0.658421052631579,,,4,0.655263157894737
Recall,3,roberta,ag,pet,qa,10,4,0.519473684210526,,,5,0.655263157894737
Accuracy,Overall,roberta,ag,pet,qa,10,5,0.763421052631579,,,1,0.778684210526316
Accuracy,Overall,roberta,ag,pet,qa,10,5,0.732763157894737,,,2,0.778684210526316
Accuracy,Overall,roberta,ag,pet,qa,10,5,0.790526315789474,,,3,0.778684210526316
Accuracy,Overall,roberta,ag,pet,qa,10,5,0.765789473684211,,,4,0.778684210526316
Accuracy,Overall,roberta,ag,pet,qa,10,5,0.77,,,5,0.778684210526316
F1,0,roberta,ag,pet,qa,10,5,0.728496634255797,,,1,0.742766126891426
F1,0,roberta,ag,pet,qa,10,5,0.731243576567318,,,2,0.742766126891426
F1,0,roberta,ag,pet,qa,10,5,0.758546433378196,,,3,0.742766126891426
F1,0,roberta,ag,pet,qa,10,5,0.737242128121607,,,4,0.742766126891426
F1,0,roberta,ag,pet,qa,10,5,0.729715206878023,,,5,0.742766126891426
